No,PO Number,Product,No.WO/OF,First SN,Last SN,Quantity,Inner Box No.,Total Inner Box No.,Outer Box No.,Item Code,NDC,HLR,Barcode
081,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 5819,0150 0000 6147 6318,500,033,106,05,S833,0823,725,S833X015000006147581900500
082,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 6319,0150 0000 6147 6818,500,034,106,05,S833,0823,725,S833X015000006147631900500
083,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 6819,0150 0000 6147 7318,500,035,106,05,S833,0823,725,S833X015000006147681900500
084,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 7319,0150 0000 6147 7818,500,036,106,05,S833,0823,725,S833X015000006147731900500
085,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 7819,0150 0000 6147 8318,500,037,106,05,S833,0823,725,S833X015000006147781900500
086,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 8319,0150 0000 6147 8818,500,038,106,05,S833,0823,725,S833X015000006147831900500
087,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 8819,0150 0000 6147 9318,500,039,106,05,S833,0823,725,S833X015000006147881900500
088,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 9319,0150 0000 6147 9818,500,040,106,05,S833,0823,725,S833X015000006147931900500
089,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6147 9819,0150 0000 6148 0318,500,041,106,06,S833,0823,725,S833X015000006147981900500
090,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 0319,0150 0000 6148 0818,500,042,106,06,S833,0823,725,S833X015000006148031900500
091,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 0819,0150 0000 6148 1318,500,043,106,06,S833,0823,725,S833X015000006148081900500
092,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 1319,0150 0000 6148 1818,500,044,106,06,S833,0823,725,S833X015000006148131900500
093,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 1819,0150 0000 6148 2318,500,045,106,06,S833,0823,725,S833X015000006148181900500
094,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 2319,0150 0000 6148 2818,500,046,106,06,S833,0823,725,S833X015000006148231900500
095,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 2819,0150 0000 6148 3318,500,047,106,06,S833,0823,725,S833X015000006148281900500
096,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 3319,0150 0000 6148 3818,500,048,106,06,S833,0823,725,S833X015000006148331900500
097,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 3819,0150 0000 6148 4318,500,049,106,07,S833,0823,725,S833X015000006148381900500
098,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 4319,0150 0000 6148 4818,500,050,106,07,S833,0823,725,S833X015000006148431900500
099,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 4819,0150 0000 6148 5318,500,051,106,07,S833,0823,725,S833X015000006148481900500
100,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 5319,0150 0000 6148 5818,500,052,106,07,S833,0823,725,S833X015000006148531900500
101,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 5819,0150 0000 6148 6318,500,053,106,07,S833,0823,725,S833X015000006148581900500
102,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 6319,0150 0000 6148 6818,500,054,106,07,S833,0823,725,S833X015000006148631900500
103,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 6819,0150 0000 6148 7318,500,055,106,07,S833,0823,725,S833X015000006148681900500
104,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 7319,0150 0000 6148 7818,500,056,106,07,S833,0823,725,S833X015000006148731900500
105,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 7819,0150 0000 6148 8318,500,057,106,08,S833,0823,725,S833X015000006148781900500
106,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 8319,0150 0000 6148 8818,500,058,106,08,S833,0823,725,S833X015000006148831900500
107,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 8819,0150 0000 6148 9318,500,059,106,08,S833,0823,725,S833X015000006148881900500
108,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 9319,0150 0000 6148 9818,500,060,106,08,S833,0823,725,S833X015000006148931900500
109,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6148 9819,0150 0000 6149 0318,500,061,106,08,S833,0823,725,S833X015000006148981900500
110,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6149 0319,0150 0000 6149 0818,500,062,106,08,S833,0823,725,S833X015000006149031900500
111,4200049459,SFG_HalfSim_Telkomsel_Universal_Jasuindo,WO-007CPRDP-20250912-0002-1-0823725pn2,0150 0000 6149 0819,0150 0000 6149 1318,500,063,106,08,S833,0823,725,S833X015000006149081900500
